Volcano Number,Volcano Name,Eruption Number,Eruption Category,Start Year,Start Month,Start Day,End Year,End Month,End Day,Latitude,Longitude,,,,,,,,
290360,Chikurachki,22153,Confirmed Eruption,2016,7,27,2016,8,18,50.324,155.461,,,,,,,,
343100,San Miguel,22154,Confirmed Eruption,2016,6,18,2016,6,18,13.434,-88.269,,,,,,,,
273010,Bulusan,22151,Confirmed Eruption,2016,6,10,2017,3,2,12.769,124.056,,,,,,,,
345040,Poas,22156,Confirmed Eruption,2016,6,5,2016,8,16,10.2,-84.233,,,,,,,,
233020,"Fournaise, Piton de la",22144,Confirmed Eruption,2016,5,26,2016,5,27,-21.244,55.708,,,,,,,,
241040,Whakaari/White Island,22121,Confirmed Eruption,2016,4,27,2016,4,27,-37.52,177.18,,,,,,,,
390080,Bristol Island,22133,Confirmed Eruption,2016,4,24,2016,7,19,-59.017,-26.533,,,,,,,,
344020,San Cristobal,22130,Confirmed Eruption,2016,4,22,2016,4,22,12.702,-87.004,,,,,,,,
311240,Cleveland,22128,Confirmed Eruption,2016,4,16,2019,1,16,52.825,-169.944,,,,,,,,
261170,Kerinci,22125,Confirmed Eruption,2016,3,31,2016,6,9,-1.697,101.264,,,,,,,,
390130,Zavodovski,22159,Confirmed Eruption,2016,3,30,2016,5,16,-56.3,-27.57,,,,,,,,
290360,Chikurachki,22127,Confirmed Eruption,2016,3,29,2016,3,31,50.324,155.461,,,,,,,,
312030,Pavlof,22129,Confirmed Eruption,2016,3,27,2016,7,30,55.417,-161.894,,,,,,,,
352090,Sangay,22237,Confirmed Eruption,2016,3,25,2016,11,17,-2.005,-78.341,,,,,,,,
273010,Bulusan,22114,Confirmed Eruption,2016,2,22,2016,2,22,12.769,124.056,,,,,,,,
343100,San Miguel,22117,Confirmed Eruption,2016,1,12,2016,1,18,13.434,-88.269,,,,,,,,
357070,"Chillan, Nevados de",22119,Confirmed Eruption,2016,1,8,2021,12,9,-36.868,-71.378,,,,,,,,
266030,Soputan,22105,Confirmed Eruption,2016,1,2,2016,2,7,1.112,124.737,,,,,,,,
344090,Momotombo,22107,Confirmed Eruption,2015,12,1,2016,4,7,12.423,-86.539,,,,,,,,
272020,Kanlaon,22106,Confirmed Eruption,2015,11,24,2016,6,18,10.412,123.132,,,,,,,,
261140,Marapi,22111,Confirmed Eruption,2015,11,14,2015,11,14,-0.38,100.474,,,,,,,,
263310,Tengger Caldera,22103,Confirmed Eruption,2015,11,12,2016,11,12,-7.942,112.95,,,,,,,,
355100,Lascar,22110,Confirmed Eruption,2015,10,30,2017,4,2,-23.37,-67.73,,,,,,,,
264030,Rinjani,22104,Confirmed Eruption,2015,10,25,2015,12,24,-8.42,116.47,,,,,,,,
252010,Langila,22123,Confirmed Eruption,2015,10,22,2021,12,9,-5.525,148.42,,,,,,,,
344100,Masaya,22108,Confirmed Eruption,2015,10,3,2021,12,9,11.985,-86.165,,,,,,,,
243060,Tofua,22370,Confirmed Eruption,2015,10,2,2021,11,28,-19.75,-175.07,,,,,,,,
290390,Alaid,21096,Confirmed Eruption,2015,9,29,2016,8,11,50.861,155.565,,,,,,,,
344040,Telica,21097,Confirmed Eruption,2015,9,23,2016,5,11,12.606,-86.84,,,,,,,,
357090,Copahue,21098,Confirmed Eruption,2015,9,18,2016,12,30,-37.856,-71.183,,,,,,,,
266100,Lokon-Empung,21093,Confirmed Eruption,2015,8,30,2015,9,28,1.358,124.792,,,,,,,,
300260,Klyuchevskoy,21095,Confirmed Eruption,2015,8,28,2018,6,15,56.056,160.642,,,,,,,,
352050,Cotopaxi,21088,Confirmed Eruption,2015,8,14,2016,1,24,-0.677,-78.436,,,,,,,,
343100,San Miguel,22233,Confirmed Eruption,2015,8,13,2015,8,13,13.434,-88.269,,,,,,,,
360160,Kick 'em Jenny,21090,Confirmed Eruption,2015,7,23,2015,7,24,12.3,-61.64,,,,,,,,
268060,Gamalama,21087,Confirmed Eruption,2015,7,16,2015,9,8,0.8,127.33,,,,,,,,
264270,Sirung,21086,Confirmed Eruption,2015,7,7,2015,7,8,-8.508,124.13,,,,,,,,
283020,Hakoneyama,21080,Confirmed Eruption,2015,6,29,2015,7,1,35.233,139.021,,,,,,,,
354006,Sabancaya,21089,Confirmed Eruption,2015,6,28,2015,7,9,-15.787,-71.857,,,,,,,,
222120,"Lengai, Ol Doinyo",22304,Confirmed Eruption,2015,6,20,2015,8,24,-2.764,35.914,,,,,,,,
283110,Asamayama,21081,Confirmed Eruption,2015,6,16,2015,6,16,36.406,138.523,,,,,,,,
345020,Rincon de la Vieja,22132,Confirmed Eruption,2015,6,16,2016,5,1,10.83,-85.324,,,,,,,,
342110,Pacaya,22157,Confirmed Eruption,2015,6,7,2021,8,18,14.382,-90.601,,,,,,,,
282050,Kuchinoerabujima,21073,Confirmed Eruption,2015,5,29,2015,6,19,30.443,130.217,,,,,,,,
353020,Wolf,21075,Confirmed Eruption,2015,5,25,2015,6,2,0.02,-91.35,,,,,,,,
266100,Lokon-Empung,21071,Confirmed Eruption,2015,5,20,2015,5,27,1.358,124.792,,,,,,,,
344040,Telica,21074,Confirmed Eruption,2015,5,7,2015,5,28,12.606,-86.84,,,,,,,,
273010,Bulusan,21072,Confirmed Eruption,2015,5,1,2015,7,17,12.769,124.056,,,,,,,,
331021,Axial Seamount,21092,Confirmed Eruption,2015,4,23,2015,5,24,45.95,-130,,,,,,,,
358020,Calbuco,21076,Confirmed Eruption,2015,4,22,2015,5,26,-41.33,-72.618,,,,,,,,
345070,Turrialba,20998,Confirmed Eruption,2015,3,8,2019,12,7,10.025,-83.767,,,,,,,,
344020,San Cristobal,22268,Confirmed Eruption,2015,3,5,2015,6,12,12.702,-87.004,,,,,,,,
290360,Chikurachki,20990,Confirmed Eruption,2015,2,16,2015,2,18,50.324,155.461,,,,,,,,
233020,"Fournaise, Piton de la",20982,Confirmed Eruption,2015,2,4,2015,10,31,-21.244,55.708,,,,,,,,
343100,San Miguel,20994,Confirmed Eruption,2015,1,26,2015,4,11,13.434,-88.269,,,,,,,,
352090,Sangay,22236,Confirmed Eruption,2015,1,19,2015,4,7,-2.005,-78.341,,,,,,,,
266030,Soputan,20988,Confirmed Eruption,2015,1,6,2015,3,7,1.112,124.737,,,,,,,,
300260,Klyuchevskoy,20992,Confirmed Eruption,2015,1,1,2015,5,10,56.056,160.642,,,,,,,,
243040,Hunga Tonga-Hunga Ha'apai,20983,Confirmed Eruption,2014,12,19,2015,1,23,-20.536,-175.382,,,,,,,,
268060,Gamalama,20989,Confirmed Eruption,2014,12,18,2014,12,25,0.8,127.33,,,,,,,,
357120,Villarrica,20996,Confirmed Eruption,2014,12,2,2021,12,9,-39.42,-71.93,,,,,,,,
263340,Raung,21070,Confirmed Eruption,2014,11,23,2015,8,30,-8.119,114.056,,,,,,,,
384010,Fogo,20977,Confirmed Eruption,2014,11,23,2015,2,8,14.95,-24.35,,,,,,,,
290260,Chirinkotan,22223,Confirmed Eruption,2014,11,21,2015,8,10,48.98,153.48,,,,,,,,
351020,"Ruiz, Nevado del",20995,Confirmed Eruption,2014,11,18,2021,12,9,4.892,-75.324,,,,,,,,
390090,Saunders,22271,Confirmed Eruption,2014,11,12,2021,12,2,-57.8,-26.483,,,,,,,,
312030,Pavlof,20975,Confirmed Eruption,2014,11,12,2014,11,15,55.417,-161.894,,,,,,,,
345070,Turrialba,20974,Confirmed Eruption,2014,10,29,2014,12,8,10.025,-83.767,,,,,,,,
283040,Ontakesan,20964,Confirmed Eruption,2014,9,27,2014,10,14,35.893,137.48,,,,,,,,
345020,Rincon de la Vieja,20961,Confirmed Eruption,2014,9,17,2014,10,24,10.83,-85.324,,,,,,,,
